Acronym,Meaning
AJAX,Asynchronous Javascript and XML
ARP,Address resolution protocol
ARPA,Advanced Research Projects Agency
ccTLD,country-code Top Level Domain
CDATA,Character Data
CGI,Common-gateway interface
CIDR,Classless inter domain routing
CML,Chemical Markup language
CORS,Cross-origin Resource Sharing
CRC,Cyclic redundancy checks
CSMA/CD,Carrier sense multiple access/collision detector
CSS,Cascading Style Sheets
cXML,commerce XML
DHCP,Dynamic Host configuration protocol
DNS,Domain Name System
DOM,Document Object Model
DSL,Digital Subscriber Line
DTD,Document Type Definition
ebXML,electronic business XML
FDM,frequency division multiplexing
FTP,File transfer Protocol
GENA,Generic event notification architecture
gTLD,generic Top Level Domain
HTML,Hyper Text Markup Language
HTTP,Hypertext Transfer Protocol
IANA,Internet Assigned Numbers authority
ICMP,Internet Control Message Protocol
IMAP4,Internet Mail Access Protocol
IP,Internet Protocol
IRI,Internationalised Resource Identifier
ISN,Initial Sequence Number
JSON,Javascript Object Notation
JSP,Java Server Pages
LAN,local area network
MAC,Medium access
MIME,Multi-purpose Internet Mail Extensions
MTU,Maximum transmission unit
NAT,network address translation
PCDATA,parsed character data
PHP,PHP: Hypertext Preprocessor
POP3,Post Office Protocol version 3
PPP,point to point protocol
RAC,row and column
RDF,Resource description framework
REST,REpresentational State Transfer
RFC,Request for Comments
RSS,Really Simple Syndacation
RTP,Real-time Transport protocol
SDN,software defined networking
SMIL,Synchronous multimedia integration language
SMTP,Simple Mail Transfer Protocol
SOAP,Simple object access protocol
SONET,Synchronous Optical Networking protocol
SSI,server side include
SSL,Secure Sockets Layer
SVG,Scalable Vector Graphics
TCP,Transmission Control Protocol
TDM,Time division multiplexing
TLS,Transport Layer Security
TTL,Time to Live
UDP,User Datagram Protocol
UPnP,universal plug and play
URI,Uniform Resource Identifier
URL,Uniform Resource Locator
W3C,World Wide Web Consortium
WWW,World Wide Web
XHR,XMLHttpRequest (object)
XHTML,Extensible hypertext markup language
XLST,XSL Transformations
XML,Extensible markup language
xmlns,Extensible markup language name space
XOR,exclusive or
XSL,Extensible Style Language
